rank,pokemon,usage_percent,raw,raw_percent,real,real_percent
1,"Kingambit",49.23769,129128,32.145,59849,32.066
2,"Incineroar",45.45541,143336,35.682,82283,44.086
3,"Charizard-Mega-Y",40.57728,100499,25.018,48281,25.868
4,"Garchomp",37.01186,122858,30.585,63088,33.801
5,"Basculegion",31.87054,95189,23.697,50779,27.206
6,"Sinistcha",29.03739,114621,28.534,56872,30.471
7,"Sneasler",28.11025,84227,20.968,43659,23.392
8,"Floette-Mega",23.90983,56190,13.988,19301,10.341
9,"Whimsicott",22.16061,84018,20.916,37752,20.227
10,"Sylveon",16.08323,58308,14.515,29118,15.601
11,"Farigiraf",14.77487,83857,20.876,36915,19.778
12,"Venusaur",14.14615,30234,7.527,13961,7.48
13,"Delphox-Mega",13.3515,37572,9.353,11137,5.967
14,"Archaludon",13.13106,53878,13.412,29951,16.047
15,"Grimmsnarl",11.55386,48292,12.022,23540,12.612
16,"Pelipper",11.27218,55477,13.811,33413,17.902
17,"Blastoise-Mega",11.20449,26968,6.713,9367,5.019
18,"Staraptor-Mega",11.18333,44384,11.049,18103,9.699
19,"Gholdengo",10.90166,38687,9.631,16720,8.958
20,"Toxapex",9.95285,23989,5.972,11496,6.159
21,"Aerodactyl-Mega",8.57216,35592,8.86,10300,5.519
22,"Swampert-Mega",7.75023,35963,8.953,15998,8.571
23,"Raichu-Mega-Y",7.4479,31912,7.944,13823,7.406
24,"Ninetales-Alola",6.03587,26607,6.624,12287,6.583
25,"Froslass-Mega",5.90943,20351,5.066,8280,4.436
26,"Tyranitar-Mega",5.62377,24330,6.057,13278,7.114
27,"Gengar-Mega",5.49079,23187,5.772,9641,5.165
28,"Maushold",5.44064,25750,6.41,11664,6.249
29,"Milotic",5.3841,31970,7.959,13209,7.077
30,"Excadrill",5.0428,18144,4.517,9127,4.89
31,"Venusaur-Mega",5.03099,19299,4.804,7493,4.015
32,"Metagross-Mega",4.87138,27416,6.825,9206,4.932
33,"Kommo-o",4.54485,10872,2.706,4700,2.518
34,"Vivillon",4.37197,12493,3.11,5607,3.004
35,"Dragonite",4.33644,9794,2.438,4032,2.16
36,"Annihilape",4.29748,17640,4.391,7175,3.844
37,"Hydreigon",4.10756,18716,4.659,9372,5.021
38,"Arcanine-Hisui",3.53977,7802,1.942,3734,2.001
39,"Blaziken-Mega",3.27958,15229,3.791,6073,3.254
40,"Scovillain-Mega",3.14181,12421,3.092,3776,2.023
41,"Lycanroc-Dusk",3.02879,9876,2.459,4061,2.176
42,"Politoed",2.95776,13744,3.421,8182,4.384
43,"Torkoal",2.89012,22153,5.515,12221,6.548
44,"Glimmora",2.76817,8868,2.208,4288,2.297
45,"Talonflame",2.39207,18124,4.512,7317,3.92
46,"Aerodactyl",2.08157,16449,4.095,6184,3.313
47,"Kangaskhan-Mega",2.03892,5610,1.397,2402,1.287
48,"Ceruledge",2.00895,15440,3.844,6948,3.723
49,"Gardevoir-Mega",1.8207,8722,2.171,4290,2.298
50,"Mamoswine",1.58469,9826,2.446,4632,2.482
51,"Dragonite-Mega",1.50775,8005,1.993,2947,1.579
52,"Mawile-Mega",1.50264,19182,4.775,7542,4.041
53,"Glimmora-Mega",1.46879,6631,1.651,2975,1.594
54,"Barbaracle-Mega",1.38275,1417,0.353,605,0.324
55,"Volcarona",1.0384,5387,1.341,2232,1.196
56,"Garchomp-Mega",0.96798,4594,1.144,2278,1.221
57,"Rotom-Wash",0.89103,17635,4.39,8717,4.67
58,"Tyranitar",0.855,8360,2.081,4597,2.463
59,"Camerupt-Mega",0.84153,6921,1.723,3549,1.901
60,"Dragapult",0.8187,4302,1.071,1873,1.004
61,"Meowscarada",0.69473,5729,1.426,2736,1.466
62,"Kleavor",0.63973,2535,0.631,1212,0.649
63,"Corviknight",0.63688,8823,2.196,3372,1.807
64,"Tsareena",0.5818,7835,1.95,3479,1.864
65,"Primarina",0.55204,10211,2.542,5280,2.829
66,"Sableye",0.53596,14032,3.493,5933,3.179
67,"Pyroar-Mega",0.53232,6376,1.587,2415,1.294
68,"Gyarados",0.5309,1682,0.419,736,0.394
69,"Scrafty-Mega",0.5047,8746,2.177,4039,2.164
70,"Vileplume",0.36013,4990,1.242,1636,0.877
71,"Rotom-Heat",0.35117,5298,1.319,2848,1.526
72,"Gyarados-Mega",0.32703,2888,0.719,1173,0.628
73,"Weavile",0.32376,2503,0.623,1232,0.66
74,"Raichu-Mega-X",0.31508,4329,1.078,1745,0.935
75,"Altaria",0.31468,2149,0.535,839,0.45
76,"Aegislash",0.30802,5122,1.275,2086,1.118
77,"Altaria-Mega",0.28372,1184,0.295,502,0.269
78,"Staraptor",0.27676,4667,1.162,1716,0.919
79,"Basculegion-F",0.26895,1489,0.371,742,0.398
80,"Lucario-Mega",0.25633,3349,0.834,1404,0.752
